DossierID,RDAF,Instructions
81024544,RDAF Delivered,Instruction Delivered
81381538,RDAF Delivered,Instruction Not Delivered
81335297,RDAF Delivered,Instruction Delivered
80003083,RDAF Delivered,Instruction Not Delivered
81369946,RDAF Delivered,Instruction Not Delivered
81251922,RDAF Delivered,Instruction Delivered
81415643,RDAF Delivered,Instruction Not Delivered
81395968,RDAF Delivered,Instruction Delivered
81398673,RDAF Delivered,Instruction Not Delivered
81334848,RDAF Delivered,Instruction Delivered
81377158,RDAF Delivered,Instruction Not Delivered
81182937,RDAF Delivered,Instruction Not Delivered
81312958,RDAF Delivered,Instruction Not Delivered
81333427,RDAF Delivered,Instruction Not Delivered
81386314,RDAF Delivered,Instruction Not Delivered
81149494,RDAF Delivered,Instruction Not Delivered
81319752,RDAF Delivered,Instruction Not Delivered
81399419,RDAF Delivered,Instruction Not Delivered
81379522,RDAF Delivered,Instruction Not Delivered
81416670,RDAF Delivered,Instruction Not Delivered
80073519,RDAF Delivered,Instruction Not Delivered
81387420,RDAF Delivered,Instruction Delivered
80554772,RDAF Delivered,Instruction Delivered
81302044,RDAF Delivered,Instruction Delivered
81329788,RDAF Delivered,Instruction Not Delivered
81306287,RDAF Delivered,Instruction Delivered
81350906,RDAF Delivered,Instruction Not Delivered
81337007,RDAF Delivered,Instruction Not Delivered
81384417,RDAF Delivered,Instruction Not Delivered
81316610,RDAF Delivered,Instruction Not Delivered
81360953,RDAF Delivered,Instruction Delivered
81404186,RDAF Delivered,Instruction Not Delivered
81413319,RDAF Not Delivered,Instruction Not Delivered
81380894,RDAF Delivered,Instruction Not Delivered
81276280,RDAF Delivered,Instruction Delivered
81396085,RDAF Delivered,Instruction Not Delivered
81288990,RDAF Delivered,Instruction Not Delivered
81389313,RDAF Delivered,Instruction Not Delivered
81380964,RDAF Delivered,Instruction Delivered
81357817,RDAF Delivered,Instruction Delivered
81368492,RDAF Delivered,Instruction Delivered
81333326,RDAF Delivered,Instruction Not Delivered
81325836,RDAF Delivered,Instruction Delivered
81237770,RDAF Delivered,Instruction Not Delivered
81371476,RDAF Delivered,Instruction Delivered
81403169,RDAF Delivered,Instruction Delivered
81336793,RDAF Delivered,Instruction Not Delivered
81414911,RDAF Delivered,Instruction Not Delivered
80998817,RDAF Delivered,Instruction Not Delivered
80901867,RDAF Delivered,Instruction Delivered
81276378,RDAF Delivered,Instruction Not Delivered
