Status,Dossier_ID,DocumentID,DocType,DocCategory,LimitationType,Issue,rdafType,startDate,UniversalKey,LimitationLife
SENT,81781916,81781916/003,RDAF,A,N/A,A,,2026-05-07,81781916,0
SENT,81409627,81409627/003,RDAF,C,3300FC/10000FH/ 24 months (whichever is first),A,,2024-07-18,81409627,90
SENT,80564201,80564201/003,RDAF,A,,B,,2019-06-24,80564201,0
SENT,81717577,81717577/076,RDAF,A,N/A,A,,2026-05-04,81717577,0
SENT,81708440,81708440/003,RDAF,Interim,See below,A,,2026-01-14,81708440,-1
SENT,80414129,80414129/003,RDAF,B,,A,,2018-02-08,80414129,0
SENT,81724717,81724717/003,RDAF,Interim,6 Months,A,,2026-02-23,81724717,40
SCOE,81728918,81728918/004,RDAF,,,A,,,81728918,0
SCOE,81786004,81786004/003,RDAF,,,A,,,81786004,0
SENT,81620810,81620810/014,RDAF,C,See below,A,,2025-11-19,81620810,-1
SENT,81768936,81768936/038,RDAF,A,,A,,2026-04-04,81768936,0
SENT,70574291,70574291/112,RDAF,B,,A,,2025-09-10,70574291,0
SENT,81779361,81779361/050,RDAF,C,200 FC (FH not relevent),A,,2026-04-18,81779361,12
SENT,80520621,80520621/005,RDAF,B,,A,,2018-10-17,80520621,0
SCOE,81789965,81789965/004,RDAF,,,A,,,81789965,0
SENT,81386134,81386134/003,RDAF,C,7200LDGs / 53000FH from 5115FC / 41464FH,C,,2025-08-26,81386134,12
SENT,80018025,80018025/003,RDAF,B,,B,,2015-07-02,80018025,0
SENT,81701471,81701471/004,RDAF,Interim,6 Months,A,,2025-12-14,81701471,79
SENT,81642573,81642573/003,RDAF,C,See below,A,,2025-11-17,81642573,-1
SCOE,81791651,81791651/002,RDAF,,,A,,,81791651,0
SENT,81694256,81694256/003,RDAF,A,N/A,A,,2025-12-15,81694256,0
SCOE,81784342,81784342/003,RDAF,,,A,,,81784342,0
SENT,81363476,81363476/014,RDAF,C,5500FC (FH not relevant),A,,2024-04-01,81363476,83
SCOE,70315718,70315718/801,RDAF,,,A,,,70315718,0
SENT,80038626,80038626/016,RDAF,B,See below,A,,2026-04-15,80038626,-1
SCOE,81752778,81752778/003,RDAF,Interim,6 Months,B,Interim to Definitive,,81752778,-1
SCOE,81176991,81176991/012,RDAF,Interim,6 months,B,Interim to Definitive,,81176991,-1
SENT,81254176,81254176/078,RDAF,C,See below,A,,2023-09-14,81254176,-1
SENT,81706669,81706669/021,RDAF,Interim,6 months,A,,2026-01-14,81706669,62
SCOE,81792035,81792035/003,RDAF,,,A,,,81792035,0
SCOE,70221374,70221374/901,RDAF,,,A,,,70221374,0
SENT,80977111,80977111/022,RDAF,Interim,6 months,A,,2025-12-03,80977111,81
SENT,80258348,80258348/003,RDAF,B,,B,,2017-03-22,80258348,0
SCOE,81788852,81788852/003,RDAF,,,A,,,81788852,0
SENT,81668626,81668626/032,RDAF,Interim,6 Months,A,,2025-12-11,81668626,80
SCOE,81777631,81777631/014,RDAF,,,A,,,81777631,0
SCOE,81784458,81784458/003,RDAF,,,A,,,81784458,0
SENT,81722139,81722139/003,RDAF,C,200FC (FH not relevant),A,,2026-01-10,81722139,85
SENT,81761593,81761593/008,RDAF,C,200 FC (FH Not Relevant),A,,2026-03-14,81761593,-1
SENT,81771284,81771284/004,RDAF,A,,A,,2026-04-21,81771284,0
SENT,80854526,80854526/002,RDAF,A,,A,,2020-12-14,80854526,0
SCOE,80140968,80140968/042,RDAF,B,,B,,,80140968,0
SCOE,81682808,81682808/003,RDAF,Interim,6 MONTHS,B,Interim to Definitive,,81682808,-1
SENT,81787106,81787106/004,RDAF,A,,A,,2026-05-02,81787106,0
SENT,81692470,81692470/003,RDAF,C,1 month,A,,2025-12-02,81692470,520
SENT,81253636,81253636/062,RDAF,B,,B,,2023-09-17,81253636,0
SENT,70531551,70531551/113,RDAF,B,,A,,2026-05-07,70531551,0
SENT,80006512,80006512/003,RDAF,A,,A,,2014-11-07,80006512,0
SENT,80754129,80754129/022,RDAF,A,,A,,2024-12-13,80754129,0
SENT,81671477,81671477/032,RDAF,C,5 000 FC (FH not relevant),A,,2025-11-06,81671477,16
SCOE,81791571,81791571/003,RDAF,,,A,,,81791571,0
SENT,81758052,81758052/002,RDAF,A,N/A,A,,2026-05-04,81758052,0
SENT,81783508,81783508/013,RDAF,C,200FC (FH not relevant),A,,2026-05-02,81783508,0
SENT,80228933,80228933/040,RDAF,B,,A,,2020-12-09,80228933,0
SCOE,81777745,81777745/003,RDAF,,,A,,,81777745,0
SCOE,81764791,81764791/003,RDAF,,,A,,,81764791,0
SENT,81628740,81628740/128,RDAF,C,See below,A,,2025-08-27,81628740,-1
SCOE,81789211,81789211/003,RDAF,,,A,,,81789211,0
SENT,80941332,80941332/003,RDAF,B,See below,B,,2021-07-19,80941332,-1
SENT,81777664,81777664/004,RDAF,C,100 FC (FH NOT RELEVANT),A,,2026-04-12,81777664,38
SCOE,81776927,81776927/003,RDAF,,,A,,,81776927,0
SENT,81278548,81278548/003,RDAF,B,See below,A,,2023-10-17,81278548,-1
SENT,81151835,81151835/003,RDAF,B,See below,A,,2023-05-18,81151835,-1
SENT,80569165,80569165/003,RDAF,B,,B,,2019-04-12,80569165,0
SENT,81446609,81446609/003,RDAF,B,,A,,2024-08-14,81446609,0
SENT,80932666,80932666/048,RDAF,B,,B,ESG,2022-10-27,80932666,0
SENT,81784963,81784963/003,RDAF,A,N/A,A,,2026-05-06,81784963,0
SENT,80954281,80954281/084,RDAF,B,,C,Interim to Definitive,2026-03-18,80954281,0
SENT,81712856,81712856/006,RDAF,B,,A,,2026-01-21,81712856,0
SCOE,81692437,81692437/003,RDAF,Interim,6 Months,B,Interim to Definitive,,81692437,-1
SENT,81543748,81543748/003,RDAF,C,16-Feb-2029,A,,2025-02-16,81543748,-1
SCOE,81739660,81739660/003,RDAF,Interim,6 Months,B,Interim to Definitive,,81739660,-1
SENT,81534263,81534263/003,RDAF,C,29-JAN-2029,A,,2025-01-29,81534263,-1
SENT,80606457,80606457/003,RDAF,B,,A,,2019-04-12,80606457,0
SCOE,81787738,81787738/003,RDAF,,,A,,,81787738,0
SENT,80951199,80951199/004,RDAF,B,,B,Interim to Definitive,2022-03-24,80951199,0
SENT,80032289,null,RDAF,,null,A,,,80032289,0
