ICAO,OPENCount,ClosedCount,AmbersAlloted,AmberCount,RedCount,RedCapMet,AmberCapMet
GBL,0,0,0,0,0,false,false
06U,0,0,0,0,0,false,false
89G,0,0,0,0,0,false,false
MBU,0,0,0,0,0,false,false
K6F,0,0,0,0,0,false,false
T6T,0,0,0,0,0,false,false
U2,0,0,0,0,0,false,false
H9X,0,0,0,0,0,false,false
48P,0,0,0,0,0,false,false
STW,0,0,0,0,0,false,false
FOE,0,0,0,0,0,false,false
01V,0,0,0,0,0,false,false
DLH02,0,0,0,0,0,false,false
SV,0,0,0,0,0,false,false
072,0,0,0,0,0,false,false
56H,0,0,0,0,0,false,false
BOV,0,0,0,0,0,false,false
32O,0,0,0,0,0,false,false
32Q,0,0,0,0,0,false,false
FJL,0,0,0,0,0,false,false
A6J,0,0,0,0,0,false,false
S2T,0,0,0,0,0,false,false
T7D,0,0,0,0,0,false,false
82F,0,0,0,0,0,false,false
A8H,0,0,0,0,0,false,false
JJ1,0,0,0,0,0,false,false
BYD,0,0,0,0,0,false,false
CP2,0,0,0,0,0,false,false
SI8,0,0,0,0,0,false,false
AVIANCA,0,0,0,0,0,false,false
CEA,0,0,0,0,0,false,false
91J,0,0,0,0,0,false,false
MAB,0,0,0,0,0,false,false
FLI,0,0,0,0,0,false,false
SJL,0,0,0,0,0,false,false
F6B,0,0,0,0,0,false,false
A9H,0,0,0,0,0,false,false
EST,0,0,0,0,0,false,false
IRB,0,0,0,0,0,false,false
A350,0,0,0,0,0,false,false
AMA,0,0,0,0,0,false,false
LFO,0,0,0,0,0,false,false
G7U,0,0,0,0,0,false,false
WHT,0,0,0,0,0,false,false
APG,0,0,0,0,0,false,false
65H,0,0,0,0,0,false,false
TCI,0,0,0,0,0,false,false
72T,0,0,0,0,0,false,false
W6,0,0,0,0,0,false,false
35M,0,0,0,0,0,false,false
65W,0,0,0,0,0,false,false
WAZ,0,0,0,0,0,false,false
UKN,0,0,0,0,0,false,false
F8L,0,0,0,0,0,false,false
11K,0,0,0,0,0,false,false
NMB,0,0,0,0,0,false,false
IB,0,0,0,0,0,false,false
DTL,0,0,0,0,0,false,false
A5M,0,0,0,0,0,false,false
M6S,0,0,0,0,0,false,false
EK,0,0,0,0,0,false,false
FEDEX,0,0,0,0,0,false,false
BOG,0,0,0,0,0,false,false
J9A,0,0,0,0,0,false,false
H08,0,0,0,0,0,false,false
34Z,0,0,0,0,0,false,false
EUK,0,0,0,0,0,false,false
NONE,0,0,0,0,0,false,false
HNY,0,0,0,0,0,false,false
HKJ,0,0,0,0,0,false,false
30K,0,0,0,0,0,false,false
LAO,0,0,0,0,0,false,false
R7C,0,0,0,0,0,false,false
76W,0,0,0,0,0,false,false
82M,0,0,0,0,0,false,false
AFR/KLM,0,0,0,0,0,false,false
08F,0,0,0,0,0,false,false
P5X,0,0,0,0,0,false,false
UAI,0,0,0,0,0,false,false
BRQ,0,0,0,0,0,false,false
EWT,0,0,0,0,0,false,false
L6Q,0,0,0,0,0,false,false
O2X,0,0,0,0,0,false,false
N6O,0,0,0,0,0,false,false
20F,0,0,0,0,0,false,false
CGUI,0,0,0,0,0,false,false
TG2,0,0,0,0,0,false,false
"SIA, BAW,",0,0,0,0,0,false,false
DES,0,0,0,0,0,false,false
DFR,0,0,0,0,0,false,false
24459,0,0,0,0,0,false,false
URO,0,0,0,0,0,false,false
SIAEP,0,0,0,0,0,false,false
45O,0,0,0,0,0,false,false
64X,0,0,0,0,0,false,false
C9C,0,0,0,0,0,false,false
AV4887,0,0,0,0,0,false,false
A10,0,0,0,0,0,false,false
REP,0,0,0,0,0,false,false
GBG,0,0,0,0,0,false,false
AMZ,0,0,0,0,0,false,false
"VIR, QTR",0,0,0,0,0,false,false
CHJ,0,0,0,0,0,false,false
DE.CAMO005,0,0,0,0,0,false,false
LHX,0,0,0,0,0,false,false
S8R,0,0,0,0,0,false,false
81G,0,0,0,0,0,false,false
B6,0,0,0,0,0,false,false
AFR03,0,0,0,0,0,false,false
A8G,0,0,0,0,0,false,false
BCO,0,0,0,0,0,false,false
C8D,0,0,0,0,0,false,false
S8A,0,0,0,0,0,false,false
48L,0,0,0,0,0,false,false
JJI,0,0,0,0,0,false,false
31V,0,0,0,0,0,false,false
A9Z,0,0,0,0,0,false,false
T9T,0,0,0,0,0,false,false
SV2,0,0,0,0,0,false,false
CWN,0,0,0,0,0,false,false
FGO,0,0,0,0,0,false,false
TSK,0,0,0,0,0,false,false
H8P,0,0,0,0,0,false,false
51T,0,0,0,0,0,false,false
PEB,0,0,0,0,0,false,false
22034,0,0,0,0,0,false,false
L7H,0,0,0,0,0,false,false
SWR / EDW,0,0,0,0,0,false,false
16E,0,0,0,0,0,false,false
FIE,0,0,0,0,0,false,false
XXXXXXX,0,0,0,0,0,false,false
20599,0,0,0,0,0,false,false
B8D,0,0,0,0,0,false,false
KMM,0,0,0,0,0,false,false
VHHH,0,0,0,0,0,false,false
JEC,0,0,0,0,0,false,false
DBP,0,0,0,0,0,false,false
MKR,0,0,0,0,0,false,false
JBE,0,0,0,0,0,false,false
C2C,0,0,0,0,0,false,false
G7F,0,0,0,0,0,false,false
UBG,0,0,0,0,0,false,false
E6A,0,0,0,0,0,false,false
63F,0,0,0,0,0,false,false
A6R,0,0,0,0,0,false,false
X,0,0,0,0,0,false,false
F1I,0,0,0,0,0,false,false
72C,0,0,0,0,0,false,false
UO,0,0,0,0,0,false,false
A5E,0,0,0,0,0,false,false
JES,0,0,0,0,0,false,false
