id_dossier,dossier_internal_id,dossierDomain,dossierTitle,dossierLabel,dossierChannel,is_dossierMigrated,dossierStatus,aircraftProgramLetter,aircraftProgram,id_aircraft,skywise_aircraft_id,is_applicableForAllMsn,msn,aircraftType,aircraftModel,registrationNumber,aircraftFlightHours,aircraftFlightCycles,operatorICAOCode,engineSeries,engineModel,componentSerialNumber,componentPartNumber,componentFlightCycles,componentFlightHours,componentFIN,ataChapter,ata4D,dossierRequestor_companyCodeICAO,dossierVisibleBy_companyCodeICAO,dossierCreationDate,dossierCreationDate_tz,dossierUpdateDate,dossierUpdateDate_tz,dossierSubmitDate,dossierSubmitDate_tz,dossierClosureDate,dossierClosureDate_tz,number_total_messages,number_closed_messages,messageSoonestRequestDate,messageSoonestRequestDate_tz,highestMessageUrgency,is_message_open,has_approval_doc,approval_doc_type
81185914,6C3BE5C03D9A1EEDACD1F774C7004F21,Simulator,A220 STD 1.0 - MCD 27F - FLAPS/SLATS SKEW SENSOR FAILURE,SSP V1.7.0,Web,false,CLSD,,,,,,,A220,,,,,,PW1500G,,,,,,,[27],[2700],,,2023-02-22 04:04:58,-05:00,2023-03-16 06:13:43,-04:00,2023-02-22 04:04:58,-05:00,2023-03-16 06:13:43,-04:00,3,3,,,,false,false,
81185918,6C3BE5C03D9A1EEDACD208A2E382D978,Simulator,A220 STD 1.0 - MCD 27F - FLAPS POSITION SENSOR FAILURE,SSP V1.7.0,Web,false,CLSD,,,,,,,A220,,,,,,PW1500G,,,,,,,[27],[2700],,,2023-02-22 04:08:31,-05:00,2023-03-16 06:30:56,-04:00,2023-02-22 04:08:31,-05:00,2023-03-16 06:30:56,-04:00,3,3,,,,false,false,
81186595,6C3BE5C03DCB1EEDACEB460B3279E860,Simulator,A220 STD1.0 ENG HIGH VIBRATIONS N2 (VAR),SSP V1.7.0,Web,false,CLSD,,,,,,,A220,,,,,,PW1500G,,,,,,,[70],[7000],,,2023-02-23 04:14:42,-05:00,2023-04-28 03:50:09,-04:00,2023-02-23 04:14:42,-05:00,2023-04-28 03:50:09,-04:00,3,3,,,,false,false,
81186648,6C3BE5C03DCB1EEDACEC4A3C0C45E598,Simulator,116506 - Air Canada CSeries FFSXR (CS300),,Web,false,CLSD,,,,,,,A220,,,,,,PW1500G,,,,,,,[23],[2300],,,2023-02-23 05:14:31,-05:00,2024-10-24 23:30:07,-04:00,2023-02-23 05:14:31,-05:00,2024-10-24 23:30:07,-04:00,1,1,,,,false,false,
81186829,D89D675C705B1EEDACF19098E179CF77,Simulator,A220 Std 1.0 TAWS Mode 2a ATM 34 Initial Conditions Are Insufficient To Pass/Fail Test Consistently,,Web,false,CLSD,,,,,,,A220,,,,,,PW1500G,,,,,,,[34],[3400],,,2023-02-23 10:49:04,-05:00,2024-05-02 04:39:26,-04:00,2023-02-23 10:49:04,-05:00,2024-05-02 04:39:26,-04:00,4,4,,,,false,false,
81186838,6C3BE5C0CB511EDDACF255E0BE9C6ED5,Simulator,Some Aural Warning Played again not expected,SSP V1.7.0,Web,false,CLSD,,,,,,,A220,,,,,,PW1500G,,,,,,,[23],[2300],,,2023-02-23 10:59:48,-05:00,2023-03-16 10:16:55,-04:00,2023-02-23 10:59:48,-05:00,2023-03-16 10:16:55,-04:00,3,3,,,,false,false,
81187203,6C3BE5C03D9A1EEDAD84FE25C3BE7026,Simulator,A220 - Ios fast align,SSP V1.7.0,Web,false,CLSD,,,,,,,A220,,,,,,PW1500G,,,,,,,[34],[3412],,,2023-02-24 04:48:19,-05:00,2024-08-28 05:48:51,-04:00,2023-02-24 04:48:19,-05:00,2024-08-28 05:48:51,-04:00,4,4,,,,false,false,
81187212,6C3BE5C03D9A1EDDAD853478D6B0A43A,Simulator,RIU CB Check - Radio Tuning,SSP V1.7.0,Web,false,CLSD,,,,,,,A220,,,,,,PW1500G,,,,,,,[23],[2300],,,2023-02-24 05:00:46,-05:00,2024-05-03 05:56:29,-04:00,2023-02-24 05:00:46,-05:00,2024-05-03 05:56:29,-04:00,7,7,,,,false,false,
81187355,6C3BE5C03DCB1EDDAD89FFF64A12CC6B,Simulator,A220 STD1.0 ENG HIGH VIBRATION N1 (VAR),,Web,false,CLSD,,,,,,,A220,,,,,,,,,,,,,[71],[7100],,,2023-02-24 09:33:53,-05:00,2023-04-28 03:46:13,-04:00,2023-02-24 09:33:53,-05:00,2023-04-28 03:46:13,-04:00,3,3,,,,false,false,
81187472,005056A15CCF1EDDAD90046098FC53AF,Simulator,127131-C6198-17 - A220VS10-2052 - Intermittent A/T loss,,Web,false,CLSD,,,,,,,A220,,,,,,,,,,,,,[22],[2200],,,2023-02-24 15:18:50,-05:00,2023-06-02 09:12:02,-04:00,2023-02-24 15:18:51,-05:00,2023-06-02 09:12:02,-04:00,4,4,,,,false,false,
